parameter,chr,position,value,length,exons,fbgn,id,fbpp,state,recomb,type,breadth,normexp
dn,Chr2,10891138,0.5119,425,2,FBgn0145196,scaffold1.1448,FBpp0171685,1,0,0,2,5.1219
dn,Chr2,13046143,0.4801,332,1,FBgn0132923,scaffold2.477,FBpp0159374,1,0,0,2,30.9678
dn,Chr2,14871884,0.3973,114,1,FBgn0139678,scaffold2:hit:46774,FBpp0166149,1,0,0,0,0
dn,Chr2,21010895,0.361,411,2,FBgn0145757,scaffold246.2,FBpp0172247,1,0,0,2,20.091
dn,Chr2,10942176,0.3588,198,1,FBgn0133032,scaffold1.1465,FBpp0159484,1,0,0,0,0
dn,Chr2,17341313,0.3429,125,3,FBgn0147510,scaffold8:hit:89577,FBpp0174005,1,0,0,0,0
dn,Chr2,13323003,0.3269,274,1,FBgn0139679,scaffold2:hit:47544,FBpp0166150,1,0,0,1,73.4309
dn,Chr2,26792987,0.3238,111,1,FBgn0146966,scaffold1:hit:25231,FBpp0173460,1,0,0,0,0
dn,Chr2,5106808,0.3188,232,1,FBgn0133398,scaffold1.688,FBpp0159851,1,0,0,2,23.513
dn,Chr2,19589694,0.2948,137,3,FBgn0147371,scaffold2.249,FBpp0173866,1,0,0,5,7.08382
dn,Chr2,28998397,0.2916,153,1,FBgn0146225,scaffold2:hit:45371,FBpp0172716,1,0,0,4,149.854
dn,Chr2,20963128,0.2908,121,1,FBgn0145753,scaffold1.1111,FBpp0172243,1,0,0,0,0
dn,Chr2,13347268,0.2894,314,3,FBgn0132894,scaffold2.435,FBpp0159345,1,0,0,2,2.6075
dn,Chr2,19565195,0.2893,258,2,FBgn0145667,scaffold2.239,FBpp0172157,1,0,0,4,10.1976
dn,Chr2,2269326,0.2883,204,1,FBgn0144687,scaffold_1_2:hit:65543,FBpp0171175,0,0,0,2,78.235
dn,Chr2,3572836,0.2841,330,3,FBgn0144745,scaffold_1_2.147,FBpp0171233,0,0,0,2,107.674
dn,Chr2,7214799,0.2838,1473,11,FBgn0133272,scaffold1.501,FBpp0159725,1,0,0,4,13.9691
dn,Chr2,17280396,0.2812,61,1,FBgn0147520,scaffold8:hit:89733,FBpp0174015,1,0,0,2,512.895
dn,Chr2,21187815,0.2809,373,2,FBgn0147266,scaffold1.1134,FBpp0173761,1,0,0,2,44.3944
dn,Chr2,21205823,0.2799,343,2,FBgn0147253,scaffold1.1145,FBpp0173748,1,0,0,2,3.46737
dn,Chr2,4635879,0.2713,135,1,FBgn0144828,scaffold1.729,FBpp0171316,1,0,0,2,1716.7
dn,Chr2,10657859,0.2696,532,1,FBgn0133048,scaffold1.1435,FBpp0159500,1,0,0,1,17.4851
dn,Chr2,15230093,0.2686,123,1,FBgn0132815,scaffold2:hit:46468,FBpp0159266,1,0,0,2,31.9281
dn,Chr2,17345028,0.2647,180,1,FBgn0147509,scaffold8.94,FBpp0174004,1,0,0,1,18.4789
dn,Chr2,7564888,0.2618,295,3,FBgn0133236,scaffold1.463,FBpp0159689,1,0,0,3,11.0364
dn,Chr2,32672273,0.2564,290,1,FBgn0146642,scaffold5.105,FBpp0173134,0,1,0,5,80.3014
dn,Chr2,19889333,0.2494,180,1,FBgn0147359,scaffold2:hit:46402,FBpp0173854,1,0,0,2,3.52439
dn,Chr2,25040748,0.2482,403,1,FBgn0147068,scaffold_1_2.236,FBpp0173562,1,0,0,3,26.3042
dn,Chr2,15340102,0.2464,756,3,FBgn0145456,scaffold2.60,FBpp0171946,1,0,0,2,30.0159
dn,Chr2,4335973,0.2461,502,1,FBgn0133450,scaffold_1_2.234,FBpp0159903,1,0,0,2,12.2401
dn,Chr2,28883785,0.2456,74,1,FBgn0146835,scaffold2:hit:45275,FBpp0173329,1,0,0,2,27.9072
dn,Chr2,10950706,0.2453,457,2,FBgn0133030,scaffold1.1467,FBpp0159482,1,0,0,2,6.7334
dn,Chr2,5690375,0.2425,96,1,FBgn0144873,scaffold1.650,FBpp0171361,1,0,0,3,413.55
dn,Chr2,22598474,0.2408,159,2,FBgn0147197,scaffold1.922,FBpp0173692,1,0,0,0,0
dn,Chr2,17878745,0.2394,216,1,FBgn0147469,scaffold8.42,FBpp0173964,1,0,0,3,21.0123
dn,Chr2,22625404,0.2368,304,2,FBgn0145833,scaffold1:hit:30803,FBpp0172323,1,0,0,0,0
dn,Chr2,13044694,0.2347,188,4,FBgn0132925,scaffold2.479,FBpp0159376,1,0,0,3,11.5328
dn,Chr2,26984270,0.234,166,3,FBgn0146099,scaffold1.177,FBpp0172590,1,0,0,2,11.0524
dn,Chr2,3104587,0.2312,114,2,FBgn0133538,scaffold_1_2:hit:65888,FBpp0159992,0,0,0,2,7.40265
dn,Chr2,32377724,0.2248,163,2,FBgn0146659,scaffold5:hit:71217,FBpp0173151,0,1,0,0,0
dn,Chr2,12777844,0.2242,249,2,FBgn0145308,scaffold2:hit:48028,FBpp0171797,1,0,0,1,65.0287
dn,Chr2,10656463,0.223,241,3,FBgn0133049,scaffold1.1434,FBpp0159501,1,0,0,3,184.161
dn,Chr2,21220497,0.222,149,2,FBgn0145775,scaffold2:hit:44651,FBpp0172265,1,0,0,1,1.20617
dn,Chr2,22581120,0.2178,309,1,FBgn0147204,scaffold1:hit:30485,FBpp0173699,1,0,0,4,14.3243
dn,Chr2,8696619,0.2172,118,1,FBgn0145071,scaffold1:hit:26481,FBpp0171560,1,0,0,1,3.63995
dn,Chr2,5074539,0.2157,476,7,FBgn0133402,scaffold1.693,FBpp0159855,1,0,0,2,12.5597
dn,Chr2,15632560,0.2109,501,5,FBgn0147581,scaffold2.12,FBpp0174078,1,0,0,2,14.4621
dn,Chr2,3052123,0.208,283,4,FBgn0144720,scaffold_1_2.104,FBpp0171208,0,0,0,5,50.0144
dn,Chr2,7757003,0.2079,719,1,FBgn0145039,scaffold1.415,FBpp0171528,1,0,0,2,4.77338
dn,Chr2,22671135,0.2076,214,2,FBgn0147184,scaffold1.952,FBpp0173679,1,0,0,1,613.778
dn,Chr2,14848882,0.2066,285,1,FBgn0145419,scaffold2.325,FBpp0171908,1,0,0,1,3.99137
dn,Chr2,12959706,0.205,213,3,FBgn0132933,scaffold2.490,FBpp0159384,1,0,0,1,6.68271
dn,Chr2,3744432,0.2042,166,2,FBgn0139683,scaffold_1_2:hit:66755,FBpp0166154,0,0,0,2,15.6751
dn,Chr2,28804943,0.2039,126,1,FBgn0146211,scaffold2.117,FBpp0172702,1,0,0,3,17.1499
